NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Pub Martin;Yttmovägen 2;21750;Norrskata;PARAINEN;01.05.2014;Anniskelu A, kaikki alkoholijuomat;0907964-0
Pub Merikulma;Merikoskenkatu 2;90500;Oulu;Oulu;13.09.2018;Anniskelu A, kaikki alkoholijuomat;2933456-5
Pub Miekkoniemi;Ilokallionkatu 4;57200;Savonlinna;Savonlinna;13.05.2019;Anniskelu A, kaikki alkoholijuomat;2993847-3
Pub Musta Kissa;Kajaanintie 19;89200;Puolanka;Puolanka;30.04.2010;Anniskelu A, kaikki alkoholijuomat;1016770-1
Pub Myrskyluoto;Myllystenpohjantie 2;36200;Kangasala;Kangasala;01.04.2013;Anniskelu A, kaikki alkoholijuomat;2531041-9
Pub Nallen Frans;Salomaantie 9;37630;Valkeakoski;Valkeakoski;10.06.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Nattarin Yläbaari;Holvastintie 6;36240;Kangasala;Kangasala;01.09.2015;Anniskelu A, kaikki alkoholijuomat;2701146-3
Pub Niska;Hovrättsesplanaden 13;65100;Vaasa;Vaasa;01.03.2019;Anniskelu A, kaikki alkoholijuomat;2961860-5
Pub Niska;Kristiinankatu 1;20100;Turku;Turku;12.10.2012;Anniskelu A, kaikki alkoholijuomat;2480124-0
Pub Niska;Sjökvarteret;22100;Mariehamn;Maarianhamina;08.06.2016;Anniskelu B, miedot alkoholijuomat/max 22%;2434635-6
Pub Niska Ekenäs;Strandallén;10600;Tammisaari;Raasepori;12.06.2015;Anniskelu A, kaikki alkoholijuomat;2684666-1
Pub Nostalgia;Särkijärventie 11;38460;Sastamala;Sastamala;23.11.2018;Anniskelu A, kaikki alkoholijuomat;2466038-8
Pub Nousuvesi;Merenkäynti 3 A 8;2320;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1046945-1
Pub Ojamo;Kartanonkuja 1, huoneisto 5;8200;Lohja;Lohja;01.03.2020;Anniskelu A, kaikki alkoholijuomat;3104662-6
Pub Old Dog;Louhenkatu 5;74100;Iisalmi;Iisalmi;17.11.2017;Anniskelu A, kaikki alkoholijuomat;1079565-2
Pub Old Tom;Käsityöläiskatu 4;45100;Kouvola;Kouvola;01.01.2013;Anniskelu A, kaikki alkoholijuomat;2467766-5
Pub Olkkari;Kauppakuja 2;83900;Juuka;Juuka;01.03.2013;Anniskelu A, kaikki alkoholijuomat;2526991-1
Pub Olohuone;Jousimiehentie 3;740;Helsinki;Helsinki;15.04.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Olohuone;Mielikintie 1;90550;Oulu;Oulu;05.01.2017;Anniskelu A, kaikki alkoholijuomat;2800601-7
Pub Onni;Kirkkotie 21;29100;Luvia;Eurajoki;05.12.2013;Anniskelu A, kaikki alkoholijuomat;2583961-1
Pub Oravanhäntä;Oravannahkatori 3;2120;Espoo;Espoo;08.11.2013;Anniskelu A, kaikki alkoholijuomat;2575144-1
Pub Paavali;Hämeentie 94;550;Helsinki;Helsinki;01.10.2017;Anniskelu A, kaikki alkoholijuomat;2836707-4
Pub Paras Kaveri;Laakavuorenkuja 2;970;Helsinki;Helsinki;01.04.2018;Ann.lupa sis. vähittäismyynnin;2881613-2
Pub Peräkammari;Eerikinkatu 2;100;Helsinki;Helsinki;08.04.2020;Ann.lupa sis. vähittäismyynnin;2854619-5
Pub Pesä;Toivolantie 1;28400;Ulvila;Ulvila;01.06.2020;Määräaikainen A, kaikki alkoholijuomat;2202245-4
Pub Pieni Karhu;Lahdenkatu 15;15110;Lahti;Lahti;17.05.2013;Anniskelu A, kaikki alkoholijuomat;2543268-6
Pub Pikilinna;Ilmarinkatu 9;33500;Tampere;Tampere;01.09.1998;Anniskelu A, kaikki alkoholijuomat;0929495-7
Pub Pikku Katti;Lauttasaarentie 32;200;Helsinki;Helsinki;11.09.2018;Ann.lupa sis. vähittäismyynnin;0953517-5
Pub PikkuPete;Asemantie 1;33470;Ylöjärvi;Ylöjärvi;25.04.2016;Anniskelu A, kaikki alkoholijuomat;2755048-3
Pub Pikkumutteri;Pitkäjärvenkatu 12;50100;Mikkeli;Mikkeli;10.10.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Pub Pikkupässi;Turuntie 1;3600;Karkkila;Karkkila;05.01.2018;Anniskelu A, kaikki alkoholijuomat;2777208-6
